id,Created At,Tweet,Location
1.65331E+18,2023-05-02 07:53:02+00:00,"b'@ruffydfire Security has been at its worst levels in Buhari\xe2\x80\x99s Nigeria, killings by herdsmen and kidnappings everywh\xe2\x80\xa6 https://t.co/cUUbyvzcXD'","b'Rockcliffe-Smythe, Toronto'"
1.6533E+18,2023-05-02 07:42:05+00:00,b'PRAYER ALERT: NIGERIA \xe2\x80\x93 \xe2\x80\x98WE NEED YOUR PRAYERS FOR GOD\xe2\x80\x99S DELIVERANCE FROM THESE FORCES OF EVIL\xe2\x80\x99\nFulani herdsmen and\xe2\x80\xa6 https://t.co/Cifr8Y4Y30',b'London \xef\xbc\x8cEngland'
1.6533E+18,2023-05-02 07:34:01+00:00,"b'@CAgbaragu10021 @simon_ekpa @BiafraRGIE Before #MNK established ESN, he wrote Eastern Governors officially to end o\xe2\x80\xa6 https://t.co/SmSLziV18m'",b''
1.6533E+18,2023-05-02 07:33:09+00:00,b'@mudassiryushau @kengood32 @Mario9jaa Why  where the igbos not allowed to enter the bus in Sudan? Open Yr eyes we a\xe2\x80\xa6 https://t.co/75BQuJ7w3u',b''
1.6533E+18,2023-05-02 07:26:56+00:00,"b'@akonblu @simon_ekpa @BiafraRGIE Before #MNK established ESN,he wrote Eastern Governors officially to stop open gra\xe2\x80\xa6 https://t.co/USqYfYLUS7'",b''
1.6533E+18,2023-05-02 07:25:38+00:00,b'@__yellows What happened to the real terrorist boko harram and herdsmen? You see your brain function that\xe2\x80\x99s why you\xe2\x80\xa6 https://t.co/QSyqDwB2lZ',b'Abuja'
1.6533E+18,2023-05-02 07:23:49+00:00,"b'The information available indicates that the victims were on top of the locust beans, harvesting the beans on their\xe2\x80\xa6 https://t.co/YILjOsPq80'",b'Nigeria'
1.6533E+18,2023-05-02 07:23:48+00:00,b'JUST IN: Pandemonium ensued in the Udei community as suspected armed herdsmen on 30th April 2023 gunned down two fa\xe2\x80\xa6 https://t.co/R5FGy3kSNw',b'Nigeria'
1.6533E+18,2023-05-02 07:18:40+00:00,"b'@Azifuaku85 @simon_ekpa @BiafraRGIE Before #MNK established Eastern Security Network (ESN),he wrote Eastern Governo\xe2\x80\xa6 https://t.co/ZvbckOnX3D'",b''
1.6533E+18,2023-05-02 07:13:06+00:00,"b'When I said Ortom was only defending his pockets and not the Benue Valley, mbaviya were busy hailing him for fighti\xe2\x80\xa6 https://t.co/hPz4F2KbDm'",b'if found return to MBAKANGE'
1.6533E+18,2023-05-02 07:11:39+00:00,b'but the herdsmen were afraid to doanything \n#\xe7\xa6\x8f\xe5\x88\xa9\xe5\xa7\xac https://t.co/rWd2gB2sM3',b''
1.65329E+18,2023-05-02 06:51:01+00:00,b'The Daily Statesman: \n\n\xe2\x80\xa2 K.T Hammond decries herdsmen invasion of Free Zones enclave \n\n\xe2\x80\xa2 PRINPAG vindicates Info Mi\xe2\x80\xa6 https://t.co/yailBvQFyf',b'Ghana'
1.65329E+18,2023-05-02 06:45:20+00:00,"b'@seunonigbinde @Krissypearlie Ortom be using their head like zombie, he knows how to control them ...he all soon sh\xe2\x80\xa6 https://t.co/gH1qXUAdkG'","b'Abuja, Nigeria'"
1.65329E+18,2023-05-02 06:44:41+00:00,"b'The Daily Statesman \n\n\xf0\x9f\x8c\x95 We\xe2\x80\x99ll emerge stronger from current challenges - President \n\n\xf0\x9f\x8c\x95 Alan: NPP needs experienced,\xe2\x80\xa6 https://t.co/gG9kkHGKfC'","b'Accra, Ghana'"
1.65329E+18,2023-05-02 06:38:49+00:00,b'@vanguardngrnews Vanguard haba!!! This new low is nothing close to true journalism.\n\nI understand the narrative now\xe2\x80\xa6 https://t.co/8Wikmx6JFV',b''
1.65329E+18,2023-05-02 06:29:11+00:00,"b""@benejindu @SKefason He typed 'some' Nigerians\n\nSudan was &amp; is a very NASTY place to exist\n\nThere had 2 Civil wars\xe2\x80\xa6 https://t.co/0oiuantILW""",b''
1.65328E+18,2023-05-02 06:24:08+00:00,"b'@muyiwa85939471 @AloyEjimakor Herdsmen sheard innocent blood on daily basis yet you bigots never talk about them, t\xe2\x80\xa6 https://t.co/av91OLi5F5'",b'FAJOE '
1.65328E+18,2023-05-02 05:58:51+00:00,"b""@Okenwahenry2 @therealkistore But it's allow to tag all Fulani has Fulani Herdsmen, Cow, Fulani Slaves?""","b'Barakin-Abdulahi, Nigeria'"
1.65326E+18,2023-05-02 04:58:58+00:00,b'@iykimo Fulani herdsmen are not my kinsmen. Ex boko haram in police n army uniforms are not my kinsmen.\n\nU will onl\xe2\x80\xa6 https://t.co/61VgxCILbH',b'Port Harcort'
1.65326E+18,2023-05-02 04:43:54+00:00,b'@spychief @AloyEjimakor Oga Remove ur mouth from what does not concern you.. focus on ur ISWAP ..bandits..boko hara\xe2\x80\xa6 https://t.co/oWarU7J5kP',"b'Rivers Corner, England'"
1.65326E+18,2023-05-02 04:42:54+00:00,"b'Protect minority ethnic nationalities from killer herdsmen, Ijaw group tells incoming Tinubu Administration - https://t.co/73WNsaFRpA'","b'3 Adetoun close, off college road, ogba, Ikeja Lagos state'"
1.65326E+18,2023-05-02 04:39:34+00:00,"b'Protect minority ethnic nationalities from killer herdsmen, Ijaw group tells incoming Tinubu Administration https://t.co/OKcKIrUj2J'",b'Lagos'
1.65325E+18,2023-05-02 04:05:21+00:00,b'@WaNduta8 @gabrieloguda They even require herdsmen... I am ready',b'Citizen of Kedongzhing'
1.65323E+18,2023-05-02 02:49:25+00:00,"b'@simon_ekpa @BiafraRGIE @ChinasaNworu Evil is evil no matter who commits it, Nigerian government forces are celebra\xe2\x80\xa6 https://t.co/ywbcncE2xO'",b''
1.65321E+18,2023-05-02 01:24:43+00:00,b'@claredims @simon_ekpa @BiafraRGIE @ChinasaNworu What about Chinasa Nwaoru Mohammad that will always go to Radio Bi\xe2\x80\xa6 https://t.co/xKztWcRF7G',b''
1.6532E+18,2023-05-02 00:37:10+00:00,"b""@femtic007 People who depend on farming and livestock have many billionaires that can't provide enough for them to\xe2\x80\xa6 https://t.co/5QMRu0gzxY""",b''
1.65319E+18,2023-05-02 00:06:53+00:00,"b'@DavidHundeyin David the problem here is that laws and guidelines are documents in the shelves, only meant to be sh\xe2\x80\xa6 https://t.co/8IRTYQaOGw'",b''
1.65319E+18,2023-05-01 23:56:37+00:00,"b'Again, suspected herdsmen on rampage, kill 2 in Benue community https://t.co/0q165FU3Bf'",b''
1.65319E+18,2023-05-01 23:52:30+00:00,"b'@__yellows And you clearly left out the top threat to Nigeria\xe2\x80\x99s security and unity for decades now BOKO HARAM, and\xe2\x80\xa6 https://t.co/UORmuC75E0'",b'\xf0\x9f\x87\xb3\xf0\x9f\x87\xac\xf0\x9f\x87\xb1\xf0\x9f\x87\xa8\xf0\x9f\x87\xac\xf0\x9f\x87\xa7\xf0\x9f\x87\xb9\xf0\x9f\x87\xb9'
1.65318E+18,2023-05-01 23:30:19+00:00,b'@AloyEjimakor Good that you ve finally found your voice. Ohaneze has never defended any Igbo man or woman under opp\xe2\x80\xa6 https://t.co/RcodfKdtnt',b''
1.65318E+18,2023-05-01 23:28:04+00:00,b'but the herdsmen were afraid to doanything \n#\xe7\xa6\x8f\xe5\x88\xa9\xe5\xa7\xac https://t.co/9X07KjaWAv',b'makassar'
1.65317E+18,2023-05-01 23:09:06+00:00,b'but the herdsmen were afraid to doanything \n#\xe7\xa6\x8f\xe5\x88\xa9\xe5\xa7\xac https://t.co/ljbCQF44e3',b''
1.65317E+18,2023-05-01 22:56:46+00:00,b'@Mario9jaa You guys will be worse than Fulani herdsmen who felt their brother is in power that they can do anyhow.',b'Enugu '
1.65317E+18,2023-05-01 22:52:49+00:00,b'@kolabo187 @Naija_Activist Amidst frequent deadly attacks on Churches &amp; Christian communities in the night &amp; broad\xe2\x80\xa6 https://t.co/emuYP0pku7',"b'Lagos,Nigeria'"
1.65316E+18,2023-05-01 22:29:27+00:00,"b""@vanguardngrnews Why don't you you tell the world when the herdsmen are attacked and killed? Useless journalist.""",b''
1.65316E+18,2023-05-01 22:28:05+00:00,"b'@renoomokri Funny man, Boko Haram and herdsmen unko e no pass that war wey we dey hear nii?'","b'Calabar, Nigeria'"
1.65316E+18,2023-05-01 22:22:56+00:00,"b'@simon_ekpa @BiafraRGIE @ChinasaNworu What these men did are wrong. However my question to the Nigeria police, l ha\xe2\x80\xa6 https://t.co/zlPiQoSbe7'",b''
1.65316E+18,2023-05-01 22:13:08+00:00,b'@bwhater88 @girlactionary Stop claiming us in the American continent then you guys want relationships with us we wa\xe2\x80\xa6 https://t.co/lFEiiB1bnC',b''
1.65316E+18,2023-05-01 22:07:14+00:00,"b'@akinolatosin7 You wey dey claim farmer, why you never enter farm, abi you dey fear make Fulani herdsmen no b\xc3\xa8h\xc3\xa8ad\xe2\x80\xa6 https://t.co/YnLQ94GCwD'",b''
1.65316E+18,2023-05-01 21:59:36+00:00,"b""@GazetteNGR @BiafranTweets The Igbo's are not welcome as part of Nigeria better find your way or continually be the\xe2\x80\xa6 https://t.co/KNEdei1Hf5""",b'Cotonou Benin'
1.65315E+18,2023-05-01 21:44:40+00:00,b'@SaharaReporters But ipob want to divide Nigeria \xf0\x9f\x98\x82\xf0\x9f\x98\x82\nPeople wey bandits and herdsmen and boko Haram wan finish',b''
1.65315E+18,2023-05-01 21:24:11+00:00,"b'AGAIN,ARMED HERDSMEN ATTACK BENUE COMMUNITY\nhttps://t.co/h1kIeJafiR'",b'Nigeria'
1.65314E+18,2023-05-01 21:06:28+00:00,"b'@asemota Most conflicts in Northern Nigeria right now are more economically induced than we like to admit, Farmers\xe2\x80\xa6 https://t.co/5oPyPRKKLC'",b''
1.65314E+18,2023-05-01 20:57:24+00:00,"b'@asemota Poultry and goat farming, especially when they are in good numbers and you are actively involved in taking\xe2\x80\xa6 https://t.co/DnAB3VZiiF'",b'Lagos/Moscow.'
1.65314E+18,2023-05-01 20:45:51+00:00,"b'@tfx53 @OyesileJohn Imagine bigot like u calling somebody bigot. Stop crying nah,I think tinubu win.Democracy is no\xe2\x80\xa6 https://t.co/SDLnGgN5kH'",b''
1.65314E+18,2023-05-01 20:45:32+00:00,b'Have you ever grown anything on a farm and depended on it to survive? Have you reared animals before that depend on\xe2\x80\xa6 https://t.co/FdVIkTT4O2',b'Will relocate for @Googlefiber'
1.65314E+18,2023-05-01 20:33:18+00:00,"b""@Only1bigcee @maryam_Jidayi We don't eat chicken that died on their own, it has to be slaughtered first. Talking ab\xe2\x80\xa6 https://t.co/FE05ykCtMh""",b'Maldives/Bali'
1.65313E+18,2023-05-01 20:30:10+00:00,"b""@thecableng You meant to say Fulani herdsmen terrorists and not bandits, isn't it?""",b''
1.65313E+18,2023-05-01 20:28:57+00:00,"b""@IkukuomaC How would Nigeria export highly when all Buhari's APC government does is to close all borders to trade,\xe2\x80\xa6 https://t.co/4r9KV1JLsg""",b''
1.65313E+18,2023-05-01 20:28:10+00:00,b'@bloody__civ I can relate \xf0\x9f\x92\x94\nLost my bestie to Fulani Herdsmen in 2021 \xf0\x9f\x98\x94\xf0\x9f\x98\x94',b'Alone with you'
1.65313E+18,2023-05-01 20:23:53+00:00,"b""@maryam_Jidayi Y'all run wild with this propaganda about Pork being unclen but y'all don't have problem eating Beef\xe2\x80\xa6 https://t.co/pYqbvJmcgD""",b'United Arab Emirates'
1.65313E+18,2023-05-01 20:12:08+00:00,"b'@IbnAhmadJallow @jcokechukwu You\'re out of touch with the reality.\n\n""No militia integrated into the national....""\xe2\x80\xa6 https://t.co/f0WGxE5nGi'",b'127.0.0.1'
